id,title,seo_url,submitdate,budget_minimum,budget_maximum,currency_code,currency_exchange_rate,bid_stats_bid_count,bid_stats_bid_avg,budget_maximum_usd,budget_minimum_usd,description
37866322,Instagram User Profiles Scraper,python/Instagram-User-Profiles-Scraper,2024-03-11 17:21:37,10.0,30.0,USD,1.0,9,28.0,30.0,10.0,"I'm seeking a skilled developer, proficient in Python, to carry out a specific scraping assignment on Instagram. 
KEY TASKS:
* Develop a Python-based scraper to extract followers count from Instagram user profiles
* This requirement is for a one-time scrape execution, not for continuous or daily updating.
  
REQUIRED SKILLS AND EXPERIENCE:
* Experience in Python programming
* Proven track record with web scraping, particularly on social media platforms like Instagram
* Knowledge of Instagram's data privacy regulations to ensure compliance
* Ability to deliver accurate, clean, and usable data"
37866248,Python and ChatGPT Tutoring Needed,python/Python-ChatGPT-Tutoring-Needed,2024-03-11 16:58:12,15.0,25.0,USD,1.0,41,22.390243902439025,25.0,15.0,"As a beginner, I'm seeking a mentor who can effectively guide me through the exciting journey of learning Python and its integrations with ChatGPT. My unique learning style involves ""learning by doing"" – I like to first attempt a task, and then need help to understand and rectify the issues if I make any mistakes.

What I hope to achieve:

1. Online Tutorial Guidance: Help me comprehend and learn from online tutorials. You should be able to guide me through any issues I face and help me understand where I went wrong.

2. Video Lectures: Provide me with video lectures that can supplement my learning, leading to a deeper understanding of the topic.

3. Interactive Exercises: Create interactive exercises to help me learn and reinforce Python concepts.

4. Topic Selection: Since I'm not sure which Python topics I want to specialize in, I'd love some assistance in figuring that out. We can discuss whether my interests lie in Data Structures, Object-Oriented Programming, or Web Development.

You should ideally have advanced knowledge of Python, ChatGPT integrations, significant experience in teaching, and a knack for simplifying complex concepts."
37866216,AI Engineer for Natural Language Processing,python/Engineer-for-Natural-Language-Processing,2024-03-11 16:45:52,25.0,50.0,USD,1.0,31,37.05,50.0,25.0,"I am looking for an AI Engineer with command over Python, TensorFlow, and PyTorch. The main objective of this project is to implement natural language processing algorithms. The tasks would be:

- Developing machine learning algorithms.
- Implementing deep learning models.
- Building Convolutional Neural Networks (CNNs).

Proficiency in these areas is a must, as you'd be using these skills to work on a complex algorithm targeting text and language processing. Experience with a similar project would be beneficial. Your primary responsibility will be to create a project that efficiently uses these algorithms to automate a range of language-related tasks."
37866209,Full-Stack Developer for E-Commerce Site,php/Full-Stack-Developer-for-Commerce-37866209,2024-03-11 16:42:24,250.0,750.0,EUR,1.09276,92,476.0869565217391,819.5699999999999,273.19,"I require a highly skilled full-stack developer to build an e-commerce website. 

Key Requirements:

- Proficiency in JavaScript, Python and PHP – these languages are key to managing both front and backend developments.
- Experience in developing distinctive, user-friendly e-commerce sites. 
- Proven track record in all stages of website development - from conception to implementation. 

The ideal candidate will have:

- Extensive experience in the specified programming languages.
- Prior e-commerce site construction.
- Strong understanding of UI/UX best practices. 

Only experienced full-stack developers need apply. This project demands a professional who can deliver high-quality work on a timetable. A portfolio of successful e-commerce sites will be a significant advantage. Make sure your bid reflects your experience and skills appropriate for this project."
37866132,Python Email Filtering with Pfsense Setup,python/Python-Email-Filtering-with-Pfsense,2024-03-11 16:17:17,30.0,250.0,USD,1.0,22,159.0909090909091,250.0,30.0,"I require expert assistance to set up Pfsense in alignment with a Python program installed on my system. The principal objective is to execute content filtering for my Outlook emails. As such, I need to update the settings to either block or allow certain emails based on their contents or attachments.

Key Tasks and Requirements:
- Pfsense configuration for Python program integration
- Email filtering setup for Outlook
- Implementing measures to block/allow emails based on their contents or attachments

The ideal candidate should have extensive experience with Python, Pfsense, and Outlook's email filtering options. Familiarity with implementing similar content filtering solutions will be highly favorable."
37866054,Python Expert for Diverse Tech Project,python/Python-Expert-for-Diverse-Tech,2024-03-11 15:54:17,250.0,750.0,USD,1.0,44,461.30909090909086,750.0,250.0,"I'm seeking a seasoned Python developer with a versatile skill set. A wide range of technological competencies will be essential for this project, including but not limited to:

- Web development
- Data analysis
- Machine learning

The ideal candidate should also be an expert in the following frameworks and libraries:

- Django
- Pandas

If you're a senior developer with a strong grasp of these technical requirements, I would love for you to bid on the project. Please provide proof of your experience and competencies in your proposal."
37866023,Typescript to intyeract with Telethon and Telegram Bot - Crypto Project,typescript/Typescript-intyeract-with-Telethon,2024-03-11 15:41:41,30.0,250.0,USD,1.0,2,114.5,250.0,30.0,"Preferably coded in Typescript for faster transaction, but will also consider Python

I need you to get data from a website from an URL string every second, I believe this can also be found in the public API.

Once the data triggers and you find a new token - I need it to trigger a buy and sell using a telegram bot (I have this already), you could achieve this using the Telethon API, however, if you could make a custom script to do this via Typescript that would be excellent.

I then need it to buy crypto token using the bot, look at price movement and once certain % is filled it needs to buy or sell the token (this feature exists in the telegram bot I am using already, but it needs to happen programmatically instead of me doing it manually).

This programme will need to continue buy and sell simultaneously, 5-6 tokens at the same time, and continue to check the buy and sell profit trigger as well as look for any new tokens from the URL.

If you think you can do it, please message me and I will send you full details with link."
37866019,Python Script & Telegram API,python/Python-Script-Telegram-API,2024-03-11 15:41:41,8.0,10.0,EUR,1.09276,8,8.625,10.9276,8.74208,"Need an expert in Telegram's API and Python scripting for a fast task

8$ budget"
37865995,Customized Basic Calculator Development,website-design/Customized-Basic-Calculator-Development,2024-03-11 15:33:30,250.0,750.0,GBP,1.280893,94,448.01063829787233,960.66975,320.22325,"I am seeking a competent and inventive programmer to craft a unique basic calculator that uses both traditional numerical inputs and category-based inputs (i.e., Male vs. Female) to make calculations. 

Key Requirements:

- The calculator should handle addition, subtraction, multiplication, division, and percentage calculations seamlessly.
- Must incorporate memory function, decimal point button, and clear button for user convenience. These are non-negotiable.
- Must implement a unique feature to input and process calculations based not only on numbers but also categories (e.g., Male vs Female).

Ideal Skills and Experience:

- Proficiency in programming languages suitable for calculator development, like JavaScript, Python, or C++
- Excellent understanding of user interface design principles for intuitive use
- Experience with similar projects or calculator application development is highly valued

The end product should be user-friendly and error-free, demonstrating both functionality and ingenuity. Please provide a portfolio of similar projects completed, if available."
37865881,YouTube Transcript Extractor & Downloader,linux/YouTube-Transcript-Extractor-Downloader,2024-03-11 15:00:44,30.0,250.0,USD,1.0,8,180.625,250.0,30.0,"I need a proficient Python developer to design a script for me. This script should be capable of scanning a specific YouTube channel, downloading all videos from that channel, and then extracting the transcripts from each video. 

Essential skills and experience for the job:

• Proficiency in Python programming language
• Familiarity with YouTube API
• Experience in Video Downloading and Transcript Extraction

The project needs to be completed as soon as possible. Speed without sacrificing quality is key.

I want help from the freelancer to design the final project specifications. I have not created a project like this one before."
37865865,Social Media Data Extraction Tool,web-scraping/Social-Media-Data-Extraction-Tool,2024-03-11 14:55:50,10.0,30.0,USD,1.0,6,21.5,30.0,10.0,"I'm seeking a competent developer to create a website scraper that can effectively extract data from various social media platforms for analysis. The primary data of interest are user profiles. 

Key Responsibilities: 
- Develop a website scraper that can extract user profiles from social media platforms 
- Ensure the scraper can handle data from multiple sources at a time 

Ideal Skills and Experience: 
- Demonstrated expertise in web scraping 
- Proficient in programming languages such as Python or Java 
- Familiarity with social media APIs 
- Experience in the field of data analysis 

Please note, the success of this project will be judged on the quality and practicality of the data extracted."
37865839,Python Appium Expert for Mobile Testing,python/Python-Appium-Expert-for-Mobile,2024-03-11 14:48:57,30.0,250.0,USD,1.0,15,158.0,250.0,30.0,"1. Hi, how's it going? I want to automate some of the tasks that I perform every day. For example, I want to automatically navigate to all my WhatsApp messages, and then fetch the new messages, and then summarize and reply. I know how to do automation using Selenium in Chrome Drive on laptop, but I was wondering if there is any other way to do that in mobile app. I read about this Appium, and I hope this works for that purpose.

2. If you know exactly what I should do, please contact. If you don't know, or if you haven't done this, then please note that I can only pay when the work is complete. Thank you.

3. If you read until here, please include 'I know how to do it' in front of your proposal. 

4. In a Zoom chat with us, we expect you to show the work from scratch. It is very important for us, and please be ready to be asked for it. Usually, people who know how to do their stuff and simply start making it from scratch. You can use chatGPT if you want. That means you share your screen in Zoom, make a new repository, name your project, import libraries, and start building it from scratch. You can use chatGPT if you want.

5. At the end of the contract, we expect to receive a screen recording of your work you explaining each part of you have done. It should be minimum 5 minutes explaining what is going on."
37865739,JSON Creation & System Integration Specialist,python/JSON-Creation-System-Integration,2024-03-11 14:14:12,10.0,50.0,SGD,0.751634,12,36.02166666666667,37.5817,7.5163400000000005,"I'm in need of a skilled programmer and developer proficient in c programimng JavaScript and Python. Tasks include creating JSON files and integrating these into our existing systems. This proficient professional would essentially help us in:

- Crafting custom-made JSON files
- Seamlessly integrating these files with our current systems

This role aims to create and integrate JSON files as configuration files for our project. It would be an added advantage if one has previous experience dealing with similar tasks. Demonstrated ability to successfully create and integrate JSON files will be highly valued. The ideal freelancer would offer innovative solutions and ideas on how these configuration files may improve or streamline our project."
37865713,Python Code for Data Analysis,python/Python-Code-for-Data-Analysis-37865713,2024-03-11 14:07:34,100.0,400.0,INR,0.012084,15,278.6666666666667,4.8336,1.2084,"I'm in need of a skilled Python coder to create a script for data analysis. The project is urgent and delivery is expected ASAP. The data type to be analyzed isn't limited to the listed choices - it's an 'Other' type, which we can discuss further privately. The coder should possess excellent Python coding skills, in-depth understanding of data structures and algorithms, particularly those used in data analysis. Knowledge of specific Python data analysis libraries like Pandas, Numpy would be an added advantage. Simplicity of the script and clear, well-commented code is crucial, as one of the requirements is to explain how the code works. Looking forward to a fruitful collaboration!"
37865701,Plaid API Asset Keys Integration,python/Plaid-API-Asset-Keys-Integration,2024-03-11 14:04:58,250.0,750.0,USD,1.0,50,517.84,750.0,250.0,"I am seeking an experienced developer with the skills to implement our Plaid API asset keys. This implementation is aimed at accessing banking data in a web application environment. Though the language wasn't specified, proficiency in Python, Ruby, or JavaScript will be beneficial to interpret my needs effectively and deliver a solution. 

Skills and Experience required:
- Familiarity with Plaid API Asset keys 
- Profound knowledge in at least one of the given programming languages; Python, Ruby or JavaScript
- Proven experience working on web applications
- Understanding of online banking data structures and protocols

Responsibilities:
- Implementing Plaid API asset keys for banking data access
- Ensuring the seamless integration of the API to the web application
- Ensuring privacy and security measures are in place after integration
- Conducting testing to ensure full functionality after implementation

Desired outcomes:
- Successful integration of Plaid API asset keys that provides secure access to banking data on our web application efficiently."
