,,Summary,Challenge,Goals,Solution
1," Problem statement shared by Startup India, DPIIT","AI-Powered Quality Control for Manufacturing: Develop a Gen AI solution that automates quality control processes in manufacturing, ensuring consistent product quality and reducing defects, by integrating with existing manufacturing workflows.",,,"The solution can address specific challenges in the Indian manufacturing sector such as inconsistent product quality, high defect rates, manual inspection limitations, limited technology integration, compliance with regulations, sustainability, and waste concerns. Features such as Predictive Maintenance, Real-Time Defect Detection, and Customisable Quality Standards (based on industry-specific requirements) can be included in the tool. The solution should support India's vision of becoming a global manufacturing hub by having low/medium-cost implementation, last-mile deployment, regional language support, and simple mobile-friendly interfaces that ensure accessibility by all. A key part of the problem statement is to create and curate the data for Quality Control for Manufacturing in India, addressing the existing gap in the industry."
2, Problem statement shared by Indian Software Product Industry Roundtable (iSPIRT),"Develop a GenAI-powered platform that revolutionizes credit access for underserved MSMEs. The platform should seamlessly connect MSMEs with diverse financing options from lenders, investors, and government programs, while empowering them with tools to optimize financial management and enhance creditworthiness.",,,"By leveraging AI, cash flow-based lending models, and OCEN integration, the platform should enable efficient credit assessment, streamlined data exchange, and access to short-tenor, small-ticket loans crucial for micro-enterprises. The ideal solution will be user-friendly, promote financial literacy, and contribute to financial inclusion and economic growth in underserved markets."
3, Problem statement shared by People+ai (City AI Engine),"City AI Engine: Develop a Gen AI powered system, City AI Engine that aims to revolutionize urban planning and management at scale, by leveraging AI to address challenges related to data disconnect, and limited public engagement that seep into outdated processes.",,,"City AI Engine: Develop a Gen AI powered system, City AI Engine that aims to revolutionize urban planning and management at scale, by leveraging AI to address challenges related to data disconnect, and limited public engagement that seep into outdated processes. The proposed engine would integrate diverse data sources from multiple formats to create a data first- digital twin of the city, and provide AI-driven analysis for informed decision-making. Key capabilities include data collection and synthesis, integration, adaptive reuse of information, and decision support for government officials , citizens and businesses. The plan of action involves establishing a standardized digital infrastructure framework and developing interactive tools. Success would be demonstrated through two prototypes: a profiling tool for comprehensive data visualization and analysis, and a footpath quality assessment tool utilizing computer vision and citizen feedback. These prototypes aim to enhance transparency, engagement, and data-driven decision-making in urban development. The core functionality of this engine would be to take any sort of data and put it on a map, with minimum hindrance and help you imagine a system, a City Engine for each settlement with a bunch of modules and plugins, built on core mathematical systems approach to city planning and governance."
4, Problem statement shared by People+ai (ConsumeWise),"ConsumeWise: Develop a Gen AI powered tool, ConsumeWise to enhance transparency and trust in consumer goods (food, personal care) by providing verifiable & personalised information about their impact on health, the environment, and society.",,,"ConsumeWise is a Public Information System designed with the motivation to promote conscious consumption and encourage the production and mainstream adoption of healthy, sustainable products. The areas of focus for building such a system are: 1) How to get accurate data (publicly available or from producers) , and how to verify it. 2) Designing a system for a credible, bias free and decentralised system for defining what is good or bad when it comes to health & sustainability. 3) Making the information user friendly - providing them an actionable insight that is personalised without causing cognitive load and at a point in their shopping journey where they can be nudged. For consumers, price sensitivity, convenience, and lack of awareness are significant barriers. ConsumeWise aims to tackle these issues by starting with awareness, setting a foundation for change through reliable data collection, verification, and updated measurement standards. It also ensures accessibility through personalized interfaces tailored to India's diverse population. The outcome of the ConsumeWise solution is creating a world where customers have easy access to product information listed on e-commerce sites as to which products are healthy and environmentally sustainable. This awareness can then prompt behaviour change towards making better consumer choices."
5, Problem statement shared by Blume Ventures,Develop a Gen AI powered tool to make a teaching assistant to teach a student using the Socratic teaching method. The Socratic method is where the assistant asks probing questions and leads the student to the answer instead of revealing the answer.,,,"Given this is a hard problem, we want to restrict it to one particular topic viz. Learning of Data Structures and Algorithms. Feel free to narrow it down even further if it helps make a high-quality assistant e.g. only for Algorithms of Sorting. That is a topic that should be familiar to most software engineers working on this. As an example, if a test-case times out, the assistant shouldn’t just say: “It timed out because it was a large input size”. It should first pick the right question to ask the student e.g. “What can you say about the difference between this test-case and the other test-cases that passed?” Then depending on what answer the student gives, ask the next relevant question, eventually making the student see that this test-case is quite large and some particular section of their code timed out processing that size. Hence that section needs to be optimized. Several studies have shown that the Socratic method of teaching is very effective for learning, but it is very challenging to scale for any commercial viability anywhere in education, because of a. limited supply of effective teachers who can do this and b. it is not very effective in 1xMany teaching, needing it to be 1x1. AI assistants have the potential to overcome both of these challenges."
6, Problem statement shared by Antler,Leveraging Generative AI to Accelerate DPI Adoption in India: Develop a GenAI product/model/platform that promotes the adoption and maximizes the benefits of Digital Public Infrastructure (DPI) in India.,,,"This could involve creating user-friendly interfaces, developing educational tools, or building AI-powered solutions that integrate with existing DPI components. The goal is to make DPI accessible and beneficial to a wider population, thereby accelerating India's digital transformation and driving economic growth.
The proposed GenAI solution should address the following key aspects:

Accessibility: The solution should be designed to be accessible to users with limited literacy and technical knowledge, considering the diverse languages spoken in India. This could involve incorporating multilingual support, intuitive user interfaces, and simplified onboarding processes.

Education and Awareness: The solution should include features that educate users about the benefits of DPI and guide them on how to effectively utilize DPI components in their daily lives. This could involve interactive tutorials, personalized recommendations, and user-friendly documentation.

Integration and Interoperability: The solution should seamlessly integrate with existing DPI components, such as Aadhaar, UPI, and DigiLocker. It should also be designed to be interoperable with other digital platforms and services, ensuring a smooth user experience.

Innovation and Scalability: The solution should leverage the power of GenAI to develop innovative features and use cases that maximize the benefits of DPI. It should also be scalable to accommodate a growing user base and evolving DPI ecosystem.This could involve creating user-friendly interfaces, developing educational tools, or building AI-powered solutions that integrate with existing DPI components. The goal is to make DPI accessible and beneficial to a wider population, thereby accelerating India's digital transformation and driving economic growth."
7, Problem statement shared by Akasa Air,"Revolutionizing the Airline Journey: A Frictionless Experience from A to B The end-to-end airline journey is riddled with friction points and inefficiencies, impacting both customer experience and operational costs for airlines and partners.

Can technology be leveraged to create a seamless, personalized journey that anticipates customer needs, streamlines processes, and adapts to disruptions?","Develop innovative solutions that address the following:

Eliminate repetitive information requests: Retain customer preferences and data to minimize redundant questions and personalize the experience.
Seamlessly manage disruptions: Proactively handle flight changes, cancellations, and other unforeseen events, automatically updating itineraries, reservations, and transportation arrangements.
Optimize resource allocation: Leverage data and predictive analytics to improve efficiency, reduce costs, and enhance customer satisfaction.Develop innovative solutions that address the following:",,"Create a frictionless, pleasurable travel experience that sets a new standard for customer service and operational excellence in the aviation industry, with the potential to transform other sectors like ground transportation and healthcare."
8, Problem statement shared by PolicyBazaar,Revolutionize Insurance Accessibility and Trust with AI. Develop an AI-powered humanoid agent that transforms the insurance experience for consumers.,,,"The platform should:
Simplify: Provide 24/7, personalized guidance on policy selection and claims via voice, video, or chat.
Educate: Ensure clear understanding of policy terms and accurate disclosures, fostering trust.
Streamline: Automate form-filling with AI for error-free applications and higher claim acceptance rates.
Focus Area (Subset): Prioritize building an AI-powered form-filling assistant for immediate impact.
The ideal solution will be user-friendly, promote financial literacy, and significantly enhance insurance penetration and consumer satisfaction. Let's use technology to make insurance work for everyone!"
9, Problem statement shared by BigBasket,AI-Powered Dynamic Banner and Video Generation for Promotions: Develop an AI solution that revolutionizes promotional content creation.,,,"Given:
Product Images: Multiple images showcasing the same or different products.
Promotional Offer: Details of the sale, discount, or special offer.
Color Palette: A set of colors to maintain brand consistency.
Theme: Festive or event-based themes (e.g., Diwali, Independence Day).
Output Specifications: Desired size, resolution, format (banner or video).
The AI should generate high-quality banners and/or videos tailored to the provided inputs. The ideal solution will be:

Creative: Produce visually appealing and engaging content.
Flexible: Adapt to various themes and promotional offers.
Efficient: Generate content quickly and at scale.
User-Friendly: Easy to use, even for non-designers."
10, Problem statement shared by Glance,"Develop an AI-powered solution that can accurately detect cancer at an early stage using [specific data type, e.g. medical images, genomic data, electronic health records]. The solution should be able to identify high-risk patients and alert healthcare providers for further screening and classify cancer types and stages with high accuracy. The goal is to improve cancer detection rates and enhance patient outcomes through early intervention.",,,
