Title,URL,Categories,Skills,Excerpt
Beyond Sunlight: An Aquatic Chemosynthetic World,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/beyond-sunlight-an-aquatic-chemosynthetic-world/,"Beginner/Youth, Intermediate, Advanced","Arts, Astrophysics, Climate, Diversity & Equity, Earth, Planets & Moons, Space Exploration, Sun","Earth's ecosystems heavily rely on sunlight, but imagine an ocean world where chemosynthesis, not photosynthesis, sustains life. Your challenge is to design such a world and its diverse ecosystem, pushing the boundaries of astrobiology beyond traditional Earth-like conditions."
Chronicles of Exoplanet Exploration,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/chronicles-of-exoplanet-exploration/,"Beginner/Youth, Intermediate, Advanced","Arts, Astrophysics, Diversity & Equity, Games, Planets & Moons, Software, Space Exploration","Embark on a thrilling journey to revolutionize exoplanet education! The discovery of exoplanets has redefined our understanding of planetary systems, expanding what we know about our place in the universe. From scorching gas giants to potentially habitable rocky worlds, these distant worlds offer a glimpse into the remarkable diversity of planetary configurations. Traditional educational materials about this topic may not be accessible to everyone, particularly those from underserved communities or with limited access to resources. Your challenge is to develop engaging and accessible learning materials that leverage creativity to enlighten students about the wonders of exoplanets."
Community Mapping,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/community-mapping/,"Beginner/Youth, Intermediate, Advanced","Arts, Climate, Diversity & Equity, Earth","A geographic information system (GIS) can create, manage, analyze, and map many types of data. With GIS and other mapping technologies, you can create a map of an area and layer open data over it spatially to reveal new, enriching insights. Your challenge is to create a map that incorporates open science data to explore how an issue in your community is shaped by the surrounding physical geography. Maybe you’re concerned about food deserts and want to analyze the locations of grocery stores in your neighborhood? Or perhaps you’d like to explore the impacts of pollution on the local water supply? There’s so much space for opportunity—all you have to do is map it!"
Create an Orrery Web App that Displays Near-Earth Objects,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/create-an-orrery-web-app-that-displays-near-earth-objects/,"Intermediate, Advanced","Astrophysics, Games, Planets & Moons, Software, Space Exploration","Since a mechanical model of the solar system was presented to Charles Boyle, 4th Earl of Orrery, in 1713, such models have been referred to as orreries. The first orreries were physical models, but today we can use numerous tools to create virtual orreries that have many more features than their ancient mechanical counterparts. Your challenge is to create an interactive orrery web app that is embedded in a webpage and displays celestial bodies such as planets, Near-Earth Asteroids, Near-Earth Comets, and Potentially Hazardous Asteroids."
Create Your Own Challenge,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/create-your-own-challenge/,"Beginner/Youth, Intermediate, Advanced",,"Participants are invited to create their own challenge to tackle during the hackathon. However, please note that while some Local Events may offer awards for ""Create Your Own Challenge"" projects, this challenge is not eligible for Global Judging and projects do not qualify for Global Awards."
Exosky!,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/exosky/,"Intermediate, Advanced","Astrophysics, Planets & Moons, Software","What would the night sky look like if you were standing on one of the many exoplanets discovered by astronomers and space missions? The list of 5500+ exoplanets at the NASA Exoplanet Archive can be combined with the latest star catalogs to translate the location and brightness of millions or even billions of stars to another perspective. From that perspective, anyone could use their imagination to draw constellations, much like our ancestors did on Earth thousands of years ago. Your challenge is to develop an app or interface for students that allows them to choose an exoplanet and then either display an interactive star chart or export a high-quality image for printing or viewing on a computer or virtual reality display, where they can draw and name constellations."
Galactic Games: Fun in a Microgravity Environment!,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/galactic-games-fun-in-a-microgravity-environment/,"Beginner/Youth, Intermediate, Advanced","Earth, Games, Hardware, Planets & Moons, Software, Space Exploration, Sun","Imagine a scenario where multiple space stations orbit various celestial bodies within the solar system. Astronauts must live, work, and play for long durations in microgravity environments. Not only does living under these conditions impact their physical well-being, sometimes they get bored! Your task is to design a game that leverages the unique challenges and opportunities of a microgravity environment to entertain and contribute to the overall well-being and cohesion of astronaut crews, enhancing their resilience and adaptability in the extraterrestrial frontier."
Gender and Climate,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/gender-and-climate/,"Intermediate, Advanced","Climate, Diversity & Equity, Earth","The United Nations Sustainable Development Goals are a series of targets designed to promote human development and protect the environment. Two of the goals concern gender equality and climate action. While most people might consider these two topics to be quite disparate, they are actually closely related. Your challenge is to model the relationship between climate change and gender inequality, and propose a solution that promotes equality and action to support sustainable development for all."
GLOBE Protocol Games,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/globe-protocol-games/,"Beginner/Youth, Intermediate, Advanced","Arts, Climate, Diversity & Equity, Earth, Games, Software","Learning about science can be a fun experience! Games that focus on science and environmental issues can create opportunities for players to develop their interests and gain knowledge while engaging with each other in a fun way. Your challenge is to create a game that integrates Global Learning and Observations to Benefit the Environment (GLOBE) Program protocols to help players understand the world around them, develop awareness of one or more local or global environmental topics (e.g., urbanization, water pollution, drought, heat waves, flooding), investigate their local community using GLOBE protocols, or learn scientific principles."
Imagine our Connected Earth,https://www.spaceappschallenge.org/nasa-space-apps-2024/challenges//nasa-space-apps-2024/challenges/imagine-our-connected-earth/,"Intermediate, Advanced","Arts, Climate, Earth, Software","Our Earth systems are intricately connected on a global scale. For example, climate change can increase the length and severity of droughts, which can make wildfires more prevalent, which can not only lead to poor air quality from smoke, but can also influence ecological succession and forest regeneration. The Earth Information Center works to communicate examples of these interconnections to the public via physical exhibits and an online platform, but new ideas on how to communicate this important message to the public are always welcome! Your challenge is to devise an audio-visual interactive product (e.g., an animation, video, web-based immersive experience, musical application, etc.) that incorporates imagery and data from NASA’s fleet of Earth observing satellites to highlight and explore the interconnections between Earth’s systems, and demonstrate how changes in one system can alter another system."
