ID	post_title	post_content	post_type	post_date	post_name	categories
72	Gallery	<!-- wp:gallery {"ids":[214,84,82,67,66,65,64,63,62,61,60,59,58,57,53,52,51,50,49,48,46,45,44,43,42,41,39,38,56,55,208,164,70,69,68,162,163,165,71],"linkTo":"file","sizeSlug":"full"} -->\n<figure class="wp-block-gallery columns-3 is-cropped"><ul class="blocks-gallery-grid"><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Lifebuoy.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Lifebuoy.jpg" alt="" data-id="214" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Lifebuoy.jpg" data-link="http://localhost:8080/?attachment_id=214" class="wp-image-214"/></a><figcaption class="blocks-gallery-item__caption">Lifebuoy</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Holland-Distilled-2-scaled.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Holland-Distilled-2-scaled.jpg" alt="" data-id="84" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Holland-Distilled-2-scaled.jpg" data-link="http://localhost:8080/?attachment_id=84" class="wp-image-84"/></a><figcaption class="blocks-gallery-item__caption">Holland Distilled</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Flower-in-a-Geometrical-Box-3-scaled.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Flower-in-a-Geometrical-Box-3-scaled.jpg" alt="" data-id="82" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Flower-in-a-Geometrical-Box-3-scaled.jpg" data-link="http://localhost:8080/?attachment_id=82" class="wp-image-82"/></a><figcaption class="blocks-gallery-item__caption">Flower in a geometrical box</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/With-the-flow-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/With-the-flow-1.jpg" alt="" data-id="67" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/With-the-flow-1.jpg" data-link="http://localhost:8080/?attachment_id=67" class="wp-image-67"/></a><figcaption class="blocks-gallery-item__caption">With the flow</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Tulip-with-Polka-dots-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Tulip-with-Polka-dots-1.jpg" alt="" data-id="66" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Tulip-with-Polka-dots-1.jpg" data-link="http://localhost:8080/?attachment_id=66" class="wp-image-66"/></a><figcaption class="blocks-gallery-item__caption">Tulip with polka dots</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Tulip-with-Polka-dots-2-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Tulip-with-Polka-dots-2-1.jpg" alt="" data-id="65" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Tulip-with-Polka-dots-2-1.jpg" data-link="http://localhost:8080/?attachment_id=65" class="wp-image-65"/></a><figcaption class="blocks-gallery-item__caption">Tulip with Polka dots 2</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Tripping-in-Micronized-Land-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Tripping-in-Micronized-Land-1.jpg" alt="" data-id="64" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Tripping-in-Micronized-Land-1.jpg" data-link="http://localhost:8080/?attachment_id=64" class="wp-image-64"/></a><figcaption class="blocks-gallery-item__caption">Tripping in a micronized land</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/The-explorer-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/The-explorer-1.jpg" alt="" data-id="63" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/The-explorer-1.jpg" data-link="http://localhost:8080/?attachment_id=63" class="wp-image-63"/></a><figcaption class="blocks-gallery-item__caption">The Explorer</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Terrace-View-Banglore-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Terrace-View-Banglore-1.jpg" alt="" data-id="62" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Terrace-View-Banglore-1.jpg" data-link="http://localhost:8080/?attachment_id=62" class="wp-image-62"/></a><figcaption class="blocks-gallery-item__caption"> Terrace Views - Bangalore</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Symbiotica-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Symbiotica-1.jpg" alt="" data-id="61" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Symbiotica-1.jpg" data-link="http://localhost:8080/?attachment_id=61" class="wp-image-61"/></a><figcaption class="blocks-gallery-item__caption">Symbiotica</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Soup-bowl-and-vegetables-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Soup-bowl-and-vegetables-1.jpg" alt="" data-id="60" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Soup-bowl-and-vegetables-1.jpg" data-link="http://localhost:8080/?attachment_id=60" class="wp-image-60"/></a><figcaption class="blocks-gallery-item__caption">Glimpses into a kitchen</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Scenes-from-Shanghai-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Scenes-from-Shanghai-1.jpg" alt="" data-id="59" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Scenes-from-Shanghai-1.jpg" data-link="http://localhost:8080/?attachment_id=59" class="wp-image-59"/></a><figcaption class="blocks-gallery-item__caption">Scenes from Shanghai</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Scenes-from-Holland-2-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Scenes-from-Holland-2-1.jpg" alt="" data-id="58" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Scenes-from-Holland-2-1.jpg" data-link="http://localhost:8080/?attachment_id=58" class="wp-image-58"/></a><figcaption class="blocks-gallery-item__caption">Scenes from Holland</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/red-Green-Blue-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/red-Green-Blue-1.jpg" alt="" data-id="57" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/red-Green-Blue-1.jpg" data-link="http://localhost:8080/?attachment_id=57" class="wp-image-57"/></a><figcaption class="blocks-gallery-item__caption">Red Green &amp; Blue</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/OM-with-Bandhani-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/OM-with-Bandhani-1.jpg" alt="" data-id="53" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/OM-with-Bandhani-1.jpg" data-link="http://localhost:8080/?attachment_id=53" class="wp-image-53"/></a><figcaption class="blocks-gallery-item__caption">OM with bandhani</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Mosaic-Modern-Ganesha-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Mosaic-Modern-Ganesha-1.jpg" alt="" data-id="52" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Mosaic-Modern-Ganesha-1.jpg" data-link="http://localhost:8080/?attachment_id=52" class="wp-image-52"/></a></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Mondrian-Style-with-face-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Mondrian-Style-with-face-1-753x1024.jpg" alt="" data-id="51" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Mondrian-Style-with-face-1.jpg" data-link="http://localhost:8080/?attachment_id=51" class="wp-image-51"/></a><figcaption class="blocks-gallery-item__caption">Prisoner of Mondrian</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Mondrian-Mosaic-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Mondrian-Mosaic-1-980x1024.jpg" alt="" data-id="50" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Mondrian-Mosaic-1.jpg" data-link="http://localhost:8080/?attachment_id=50" class="wp-image-50"/></a><figcaption class="blocks-gallery-item__caption">Mondrian Mosaic </figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Lotus-series-1-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Lotus-series-1-1-1024x1024.jpg" alt="" data-id="49" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Lotus-series-1-1.jpg" data-link="http://localhost:8080/?attachment_id=49" class="wp-image-49"/></a><figcaption class="blocks-gallery-item__caption">Lotus Series 1</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Lotus-Impressionism-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Lotus-Impressionism-1-1024x824.jpg" alt="" data-id="48" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Lotus-Impressionism-1.jpg" data-link="http://localhost:8080/?attachment_id=48" class="wp-image-48"/></a><figcaption class="blocks-gallery-item__caption">Impressions of Lotuses</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Life-force-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Life-force-1-880x1024.jpg" alt="" data-id="46" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Life-force-1.jpg" data-link="http://localhost:8080/?attachment_id=46" class="wp-image-46"/></a><figcaption class="blocks-gallery-item__caption">Life Force</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Lemon-and-Pot-Contemporary-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Lemon-and-Pot-Contemporary-1-1024x821.jpg" alt="" data-id="45" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Lemon-and-Pot-Contemporary-1.jpg" data-link="http://localhost:8080/?attachment_id=45" class="wp-image-45"/></a><figcaption class="blocks-gallery-item__caption">Lemon and a pot </figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Holland-Distilled-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Holland-Distilled-1.jpg" alt="" data-id="44" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Holland-Distilled-1.jpg" data-link="http://localhost:8080/?attachment_id=44" class="wp-image-44"/></a><figcaption class="blocks-gallery-item__caption">Holland Distilled</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Ganesha-with-lines-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Ganesha-with-lines-1-741x1024.jpg" alt="" data-id="43" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Ganesha-with-lines-1.jpg" data-link="http://localhost:8080/?attachment_id=43" class="wp-image-43"/></a><figcaption class="blocks-gallery-item__caption">Ganesha in linear relief</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Ganesha-Modern-Polka-dots-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Ganesha-Modern-Polka-dots-1-825x1024.jpg" alt="" data-id="42" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Ganesha-Modern-Polka-dots-1.jpg" data-link="http://localhost:8080/?attachment_id=42" class="wp-image-42"/></a><figcaption class="blocks-gallery-item__caption">Ganesha in polka dots</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Ganesha-in-Blocks-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Ganesha-in-Blocks-1-922x1024.jpg" alt="" data-id="41" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Ganesha-in-Blocks-1.jpg" data-link="http://localhost:8080/?attachment_id=41" class="wp-image-41"/></a><figcaption class="blocks-gallery-item__caption">Ganesha in blocks </figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Floating-Vegetables-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Floating-Vegetables-1-1024x533.jpg" alt="" data-id="39" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Floating-Vegetables-1.jpg" data-link="http://localhost:8080/?attachment_id=39" class="wp-image-39"/></a><figcaption class="blocks-gallery-item__caption">Vegetables in Negative Space</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Fall-Ganesha-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Fall-Ganesha-1-838x1024.jpg" alt="" data-id="38" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Fall-Ganesha-1.jpg" data-link="http://localhost:8080/?attachment_id=38" class="wp-image-38"/></a><figcaption class="blocks-gallery-item__caption">Fall Ganesha</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Pear-with-Pink-Background-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Pear-with-Pink-Background-1-811x1024.jpg" alt="" data-id="56" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Pear-with-Pink-Background-1.jpg" data-link="http://localhost:8080/?attachment_id=56" class="wp-image-56"/></a><figcaption class="blocks-gallery-item__caption">Pear</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Pear-Pointlism-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Pear-Pointlism-1-1024x699.jpg" alt="" data-id="55" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Pear-Pointlism-1.jpg" data-link="http://localhost:8080/?attachment_id=55" class="wp-image-55"/></a><figcaption class="blocks-gallery-item__caption">Orange and Pear</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Dragon-Fruit-scaled.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Dragon-Fruit-scaled.jpg" alt="" data-id="208" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Dragon-Fruit-scaled.jpg" data-link="http://localhost:8080/?attachment_id=208" class="wp-image-208"/></a><figcaption class="blocks-gallery-item__caption">Dragonfruit</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Pear-scaled.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Pear-1024x1021.jpg" alt="" data-id="164" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Pear-scaled.jpg" data-link="http://localhost:8080/?attachment_id=164" class="wp-image-164"/></a><figcaption class="blocks-gallery-item__caption">Pear</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Eggplant.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Eggplant-825x1024.jpg" alt="" data-id="70" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Eggplant.jpg" data-link="http://localhost:8080/?attachment_id=70" class="wp-image-70"/></a><figcaption class="blocks-gallery-item__caption">Eggplant</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Banana.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Banana-1007x1024.jpg" alt="" data-id="69" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Banana.jpg" data-link="http://localhost:8080/?attachment_id=69" class="wp-image-69"/></a><figcaption class="blocks-gallery-item__caption">Banana</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Apple-with-dots.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Apple-with-dots-1024x1015.jpg" alt="" data-id="68" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Apple-with-dots.jpg" data-link="http://localhost:8080/?attachment_id=68" class="wp-image-68"/></a><figcaption class="blocks-gallery-item__caption">Apple with Dots</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Mangosteen-scaled.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Mangosteen-1024x775.jpg" alt="" data-id="162" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Mangosteen-scaled.jpg" data-link="http://localhost:8080/?attachment_id=162" class="wp-image-162"/></a><figcaption class="blocks-gallery-item__caption">Mangosteen</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Olive.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Olive-1024x1010.jpg" alt="" data-id="163" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Olive.jpg" data-link="http://localhost:8080/?attachment_id=163" class="wp-image-163"/></a><figcaption class="blocks-gallery-item__caption">Olive</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/pomergranate.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/pomergranate-844x1024.jpg" alt="" data-id="165" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/pomergranate.jpg" data-link="http://localhost:8080/?attachment_id=165" class="wp-image-165"/></a><figcaption class="blocks-gallery-item__caption">Pomegranate</figcaption></figure></li><li class="blocks-gallery-item"><figure><a href="http://localhost:8080/wp-content/uploads/2021/02/Lemon.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Lemon.jpg" alt="" data-id="71" data-full-url="http://localhost:8080/wp-content/uploads/2021/02/Lemon.jpg" data-link="http://localhost:8080/?attachment_id=71" class="wp-image-71"/></a><figcaption class="blocks-gallery-item__caption">Lemon</figcaption></figure></li></ul></figure>\n<!-- /wp:gallery -->	page	2021-02-07 14:01:03	home-page	NULL
75	About	<!-- wp:image {"align":"wide","id":334,"sizeSlug":"large","linkDestination":"none"} -->\n<figure class="wp-block-image alignwide size-large"><img src="http://localhost:8080/wp-content/uploads/2021/03/Priti_Ghatlia-1024x843.jpg" alt="" class="wp-image-334"/></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"dropCap":true,"className":"about-us-content"} -->\n<p class="has-drop-cap about-us-content">Priti started her career in art doing Henna Tattoo art and then ventured into the universe of painting. This progression was natural and was formalized with various art courses in both the United States and Holland. Her art has been deeply influenced by her cultural upbringing in India and then shaped with life experiences from living in the United States, Holland, Shanghai, and India, and visiting over 37 countries. Her paintings represent the blending of traditional and modern cultures and showcase both the free-flowing lines inspired by her Henna work as well as sharp geometrical discipline. Her art also manifests Priti’s love of creativity and experimentation, from paintings using simple acrylic on canvas, to mixes of oil, prints, charcoal, and pencil.</p>\n<!-- /wp:paragraph -->	page	2021-02-07 14:05:55	about	NULL
86	Tulip with Polka Dots - 2	<!-- wp:image {"id":65,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Tulip-with-Polka-dots-2-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Tulip-with-Polka-dots-2-1.jpg" alt="" class="wp-image-65"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(20 cm X 20 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">The natural curls and swirls of the flower in contrast to the perfect Geometrical circle.</p>\n<!-- /wp:paragraph -->	post	2021-02-13 16:52:41	tulip-with-polka-dots	Acrylic and Oil on Canvas with Texture
88	Symbiotica	<!-- wp:image {"id":61,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Symbiotica-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Symbiotica-1.jpg" alt="" class="wp-image-61"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(20 cm X 20 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">I was enjoying a view of the flower and saw the bee sit and satisfy its primal needs and add to my pleasure. I had to capture this scene.</p>\n<!-- /wp:paragraph -->	post	2021-02-13 16:55:23	symbiotica	Acrylic and Oil on Canvas with Texture
90	Flowers in a Geometrical Box	<!-- wp:image {"id":82,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Flower-in-a-Geometrical-Box-3-scaled.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Flower-in-a-Geometrical-Box-3-scaled.jpg" alt="" class="wp-image-82"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(20 cm X 20 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">Hard angular corners and soft petals unfurled…</p>\n<!-- /wp:paragraph -->	post	2021-02-13 17:00:19	flowers-in-a-geometrical-box	Acrylic and Oil on Canvas
92	Holland Distilled	<!-- wp:image {"id":84,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Holland-Distilled-2-scaled.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Holland-Distilled-2-scaled.jpg" alt="" class="wp-image-84"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(50 cm X 40 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">I never got tired of seeing windmills dotting endless tulip fields during our drives along the Dutch canals - always breath taking</p>\n<!-- /wp:paragraph -->	post	2021-02-13 17:01:51	holland-distilled	Acrylic on Canvas
94	Life Force	<!-- wp:image {"id":46,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Life-force-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Life-force-1.jpg" alt="" class="wp-image-46"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(50 cm X 60 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">While riding with my son on a bicycle to the Dutch nursery I used to see lots of vibrant Poppies growing along the canal. In this painting I wanted to contrast the red and orange hues of the flowers against slivers and shards of black on a primal white.</p>\n<!-- /wp:paragraph -->	post	2021-02-13 17:05:23	life-force	Acrylic on Canvas
96	Pear	<!-- wp:image {"id":56,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Pear-with-Pink-Background-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Pear-with-Pink-Background-1.jpg" alt="" class="wp-image-56"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(51 cm X 30.5 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">My first pear was gifted to my son's piano teacher. So had to make one more ! Played with different brush strokes in the background.</p>\n<!-- /wp:paragraph -->	post	2021-02-13 17:31:32	pear	Oil on Canvas
98	Red Green & Blue	<!-- wp:image {"id":57,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/red-Green-Blue-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/red-Green-Blue-1.jpg" alt="" class="wp-image-57"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(40 cm X 50 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">I find bright colors emerging from the dark blues deeply inspring and satisfying</p>\n<!-- /wp:paragraph -->	post	2021-02-13 17:33:18	red-green-blue	Acrylic on Canvas
101	Tripping in a Micronized Land	<!-- wp:image {"id":64,"sizeSlug":"full","linkDestination":"media"} -->\n<figure class="wp-block-image size-full"><a href="http://localhost:8080/wp-content/uploads/2021/02/Tripping-in-Micronized-Land-1.jpg"><img src="http://localhost:8080/wp-content/uploads/2021/02/Tripping-in-Micronized-Land-1.jpg" alt="" class="wp-image-64"/></a></figure>\n<!-- /wp:image -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">(91 cm X 61 cm)</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph {"align":"center"} -->\n<p class="has-text-align-center">Breaking down the fine curlicues of shapes inspired by henna art</p>\n<!-- /wp:paragraph -->	post	2021-02-13 17:35:24	tripping-in-micronized-land	Acrylic on Canvas
